sex,age,female1,female2,female3,female4,female5,female6,female7,female8,female9,female10,female11,female12,female13,female14,female15,female16,female17,female18,female19,female20,male21,male22,male23,male24,male25,male26,male27,male28,male29,male30,male31,male32,male33,male34,male35,male36,male37,male38,male39,male40,sra
female,19.6,5,4,5,4,6,5,5,4,5,5,4,4,5,4,5,3,4,5,5,5,6,4,2,6,6,3,4,4,5,4,6,5,3,4,4,4,3,4,4,5,4
female,26.0,4,3,4,4,4,4,4,4,4,4,3,4,3,4,4,4,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6
female,18.5,5,4,5,4,5,6,5,5,4,2,5,0,5,6,6,6,6,2,5,2,6,5,5,4,5,5,3,4,5,4,5,3,3,4,3,1,2,6,6,6,5
female,23.2,5,6,6,4,6,6,4,5,6,5,4,4,6,6,2,2,4,4,6,5,4,4,3,7,4,2,7,3,5,5,6,2,4,4,5,3,3,6,5,6,5
female,20.8,4,6,6,5,6,4,3,2,4,5,5,3,4,5,6,1,2,5,5,5,4,2,0,4,6,4,2,3,2,4,4,2,2,3,6,0,1,3,6,6,6
female,30.5,1,6,6,5,6,1,5,6,6,6,6,1,6,6,6,6,1,6,6,1,6,6,1,1,6,1,1,1,1,6,6,1,3,6,1,1,1,1,6,6,6
female,28.5,4,4,4,4,5,3,4,5,6,4,4,4,4,4,4,4,4,2,5,4,4,3,3,4,4,4,4,4,2,3,4,5,3,1,4,2,3,4,4,4,3
female,23.5,7,6,6,4,5,4,4,4,6,5,5,5,4,4,4,4,6,4,4,4,3,4,4,5,5,3,4,2,5,3,5,2,4,4,3,4,2,4,4,5,5
female,34.1,5,5,5,5,5,5,5,4,5,5,4,3,6,5,5,3,5,2,4,3,5,5,3,5,5,4,4,4,6,2,6,5,2,5,6,5,5,6,5,5,6
female,20.3,6,4,4,0,5,0,4,5,6,4,4,4,4,4,4,4,4,2,4,4,4,7,3,5,3,3,5,4,1,4,5,2,0,2,4,4,1,4,1,4,7
female,19.1,5,5,6,5,5,4,4,4,6,4,6,4,5,5,6,5,6,6,6,6,5,3,4,4,5,6,4,4,3,5,4,6,4,3,3,5,5,4,4,4,4
female,27.7,6,5,6,2,4,4,4,6,4,5,4,5,4,6,4,1,6,5,6,3,4,6,4,4,6,2,4,5,3,5,4,4,3,3,3,6,3,4,3,3,3
female,33.7,5,4,5,6,2,5,5,5,5,4,6,2,3,2,6,5,3,3,5,5,5,4,2,3,4,3,2,4,4,4,3,3,1,5,5,2,2,4,3,2,4
female,18.9,6,5,7,5,6,5,5,6,5,5,5,5,6,4,6,5,6,6,5,5,6,6,4,5,6,5,6,5,6,5,5,5,6,5,5,5,2,4,3,5,4
female,28.7,6,5,5,5,5,4,5,4,4,4,4,4,6,5,5,4,6,5,4,4,4,6,4,3,4,5,4,4,5,3,5,3,5,5,4,1,4,4,5,4,4
